id,sede,facultad
1,Cajicá,Estudios a Distancia
2,Cajicá,Ciencias Básicas y Aplicadas
3,Bogotá,Ingeniería
4,Cajicá,Ingeniería
5,Bogotá,Derecho
6,Cajicá,Estudios a Distancia
7,Cajicá,Ciencias Básicas y Aplicadas
8,Cajicá,Ciencias Básicas y Aplicadas
9,Cajicá,Ciencias Básicas y Aplicadas
10,Bogotá,Ciencias Económicas
11,Bogotá,Ingeniería
12,Bogotá,Ciencias Básicas y Aplicadas
13,Bogotá,Ciencias Básicas y Aplicadas
14,Bogotá,Ciencias Económicas
15,Bogotá,Derecho
16,Cajicá,Ciencias Básicas y Aplicadas
17,Bogotá,Ciencias Básicas y Aplicadas
18,Cajicá,Ciencias Básicas y Aplicadas
19,Cajicá,Estudios a Distancia
20,Cajicá,Medicina y Ciencias de la Salud
21,Cajicá,Ingeniería
22,Cajicá,Ingeniería
23,Cajicá,Ciencias Básicas y Aplicadas
24,Cajicá,Estudios a Distancia
25,Cajicá,Ciencias Económicas
26,Bogotá,Ingeniería
27,Bogotá,Ingeniería
28,Bogotá,Ciencias Básicas y Aplicadas
29,Cajicá,Estudios a Distancia
30,Bogotá,Medicina y Ciencias de la Salud
31,Cajicá,Estudios a Distancia
32,Cajicá,Ingeniería
33,Bogotá,Ciencias Básicas y Aplicadas
34,Bogotá,Ciencias Básicas y Aplicadas
35,Bogotá,Ciencias Económicas
36,Bogotá,Ciencias Básicas y Aplicadas
