Id,Sede,Facultad a la que pertenece,Nombre del Programa académico
1,Cajicá,ESTUDIOS A DISTANCIA,CONTADURÍA PÚBLICA
2,Cajicá,CIENCIAS BÁSICAS,Matemáticas
3,Bogotá,INGENIERIA,INGENIERÍA CIVIL 
4,Cajicá,INGENIERIA,Ingeniería Industrial
5,Bogotá,DERECHO,Derecho
6,Cajicá,ESTUDIOS A DISTANCIA,Contaduría Pública 
7,Cajicá,CIENCIAS BÁSICAS,Matematicas 
8,Cajicá,CIENCIAS BÁSICAS,Matemáticas 
9,Cajicá,CIENCIAS BÁSICAS,Depto de Fisica
10,Bogotá,CIENCIAS ECONÓMICAS,Administracion de Empresas
11,Bogotá,INGENIERIA,Tecnología en Electrónica y Comunicaciones
12,Bogotá,CIENCIAS BÁSICAS,Departamento de Química
13,Bogotá,CIENCIAS BÁSICAS,Matemáticas 
14,Bogotá,CIENCIAS ECONÓMICAS,Administración de empresas
15,Bogotá,DERECHO,Derecho
16,Cajicá,CIENCIAS BÁSICAS,Departamento de Tecnologías del Conocimiento
17,Bogotá,CIENCIAS BÁSICAS,Departamento de Química
18,Cajicá,CIENCIAS BÁSICAS,Departamento de Matemáticas
19,Cajicá,ESTUDIOS A DISTANCIA,Administración de empresas 
20,Cajicá,MEDICINA,TECNOLOGIA ATENCION PREHOSPITALARIA
21,Cajicá,INGENIERIA,Mecatronica
22,Cajicá,INGENIERIA,Ingenieria biomédica 
23,Cajicá,CIENCIAS BÁSICAS,Departamento de Química 
24,Cajicá,ESTUDIOS A DISTANCIA,Contaduría Pública 
25,Cajicá,CIENCIAS ECONÓMICAS,Contaduría publica
26,Bogotá,INGENIERIA,Ingeniería Mecatrónica
27,Bogotá,INGENIERIA,Ingenieria Civil
28,Bogotá,CIENCIAS BÁSICAS,Matemáticas
29,Cajicá,ESTUDIOS A DISTANCIA,Contaduría Pública
30,Bogotá,MEDICINA,Medicina 
31,Cajicá,ESTUDIOS A DISTANCIA,Contaduría Pública
32,Cajicá,INGENIERIA,Ingeniería Mecatrónica
33,Bogotá,CIENCIAS BÁSICAS,Matematicas
34,Bogotá,CIENCIAS BÁSICAS,Departamento de física 
35,Bogotá,CIENCIAS ECONÓMICAS,Economía
36,Bogotá,CIENCIAS BÁSICAS,Departamento de fisica
